Date,Day,Area,Latitude,Longitude,Ideal Police Force,no_helmet_Violations,no_parking_Violations,signal_jumps
2022-01-01,Saturday,Shivajinagar,18.5302,73.8526,94,144,123,171
2022-01-02,Sunday,Shivajinagar,18.5302,73.8526,12,144,123,171
2022-01-03,Monday,Shivajinagar,18.5302,73.8526,79,144,123,171
2022-01-04,Tuesday,Viman Nagar,18.5679,73.9143,22,164,129,237
2022-01-05,Wednesday,Kothrud,18.5074,73.8077,54,147,159,186
2022-01-06,Thursday,Viman Nagar,18.5679,73.9143,76,164,129,237
2022-01-07,Friday,Hinjawadi,18.5972,73.7186,95,167,139,220
2022-01-08,Saturday,Hinjawadi,18.5972,73.7186,49,167,139,220
2022-01-09,Sunday,Viman Nagar,18.5679,73.9143,49,164,129,237
2022-01-10,Monday,Shivajinagar,18.5302,73.8526,85,144,123,171
2022-01-11,Tuesday,Kothrud,18.5074,73.8077,32,147,159,186
2022-01-12,Wednesday,Kothrud,18.5074,73.8077,40,147,159,186
2022-01-13,Thursday,Kothrud,18.5074,73.8077,27,147,159,186
2022-01-14,Friday,Kothrud,18.5074,73.8077,80,147,159,186
2022-01-15,Saturday,Shivajinagar,18.5302,73.8526,81,144,123,171
2022-01-16,Sunday,Kothrud,18.5074,73.8077,28,147,159,186
2022-01-17,Monday,Shivajinagar,18.5302,73.8526,53,144,123,171
2022-01-18,Tuesday,Hinjawadi,18.5972,73.7186,93,167,139,220
2022-01-19,Wednesday,Shivajinagar,18.5302,73.8526,59,144,123,171
2022-01-20,Thursday,Hinjawadi,18.5972,73.7186,51,167,139,220
2022-01-21,Friday,Kothrud,18.5074,73.8077,56,147,159,186
2022-01-22,Saturday,Viman Nagar,18.5679,73.9143,31,164,129,237
2022-01-23,Sunday,Hinjawadi,18.5972,73.7186,83,167,139,220
2022-01-24,Monday,Hinjawadi,18.5972,73.7186,99,167,139,220
2022-01-25,Tuesday,Shivajinagar,18.5302,73.8526,83,144,123,171
2022-01-26,Wednesday,Viman Nagar,18.5679,73.9143,38,164,129,237
2022-01-27,Thursday,Hinjawadi,18.5972,73.7186,91,167,139,220
2022-01-28,Friday,Shivajinagar,18.5302,73.8526,68,144,123,171
2022-01-29,Saturday,Kothrud,18.5074,73.8077,10,147,159,186
2022-01-30,Sunday,Hinjawadi,18.5972,73.7186,96,167,139,220
2022-01-31,Monday,Kothrud,18.5074,73.8077,73,147,159,186
2022-02-01,Tuesday,Hinjawadi,18.5972,73.7186,26,167,139,220
2022-02-02,Wednesday,Hinjawadi,18.5972,73.7186,46,167,139,220
2022-02-03,Thursday,Viman Nagar,18.5679,73.9143,34,164,129,237
2022-02-04,Friday,Hinjawadi,18.5972,73.7186,73,167,139,220
2022-02-05,Saturday,Shivajinagar,18.5302,73.8526,77,144,123,171
2022-02-06,Sunday,Kothrud,18.5074,73.8077,61,147,159,186
2022-02-07,Monday,Kothrud,18.5074,73.8077,18,147,159,186
2022-02-08,Tuesday,Kothrud,18.5074,73.8077,66,147,159,186
2022-02-09,Wednesday,Hinjawadi,18.5972,73.7186,97,167,139,220
2022-02-10,Thursday,Shivajinagar,18.5302,73.8526,42,144,123,171
2022-02-11,Friday,Hinjawadi,18.5972,73.7186,29,167,139,220
2022-02-12,Saturday,Viman Nagar,18.5679,73.9143,82,164,129,237
2022-02-13,Sunday,Shivajinagar,18.5302,73.8526,81,144,123,171
2022-02-14,Monday,Hinjawadi,18.5972,73.7186,97,167,139,220
2022-02-15,Tuesday,Hinjawadi,18.5972,73.7186,23,167,139,220
2022-02-16,Wednesday,Viman Nagar,18.5679,73.9143,68,164,129,237
2022-02-17,Thursday,Hinjawadi,18.5972,73.7186,91,167,139,220
2022-02-18,Friday,Viman Nagar,18.5679,73.9143,65,164,129,237
2022-02-19,Saturday,Hinjawadi,18.5972,73.7186,74,167,139,220
2022-02-20,Sunday,Shivajinagar,18.5302,73.8526,85,144,123,171
2022-02-21,Monday,Viman Nagar,18.5679,73.9143,46,164,129,237
2022-02-22,Tuesday,Shivajinagar,18.5302,73.8526,35,144,123,171
2022-02-23,Wednesday,Shivajinagar,18.5302,73.8526,42,144,123,171
2022-02-24,Thursday,Shivajinagar,18.5302,73.8526,52,144,123,171
2022-02-25,Friday,Kothrud,18.5074,73.8077,24,147,159,186
2022-02-26,Saturday,Kothrud,18.5074,73.8077,96,147,159,186
2022-02-27,Sunday,Viman Nagar,18.5679,73.9143,38,164,129,237
2022-02-28,Monday,Shivajinagar,18.5302,73.8526,30,144,123,171
2022-03-01,Tuesday,Shivajinagar,18.5302,73.8526,92,144,123,171
2022-03-02,Wednesday,Kothrud,18.5074,73.8077,78,147,159,186
2022-03-03,Thursday,Hinjawadi,18.5972,73.7186,32,167,139,220
2022-03-04,Friday,Shivajinagar,18.5302,73.8526,93,144,123,171
2022-03-05,Saturday,Kothrud,18.5074,73.8077,17,147,159,186
2022-03-06,Sunday,Viman Nagar,18.5679,73.9143,82,164,129,237
2022-03-07,Monday,Viman Nagar,18.5679,73.9143,71,164,129,237
2022-03-08,Tuesday,Hinjawadi,18.5972,73.7186,23,167,139,220
2022-03-09,Wednesday,Shivajinagar,18.5302,73.8526,15,144,123,171
2022-03-10,Thursday,Kothrud,18.5074,73.8077,10,147,159,186
2022-03-11,Friday,Kothrud,18.5074,73.8077,18,147,159,186
2022-03-12,Saturday,Hinjawadi,18.5972,73.7186,89,167,139,220
2022-03-13,Sunday,Kothrud,18.5074,73.8077,89,147,159,186
2022-03-14,Monday,Kothrud,18.5074,73.8077,63,147,159,186
2022-03-15,Tuesday,Hinjawadi,18.5972,73.7186,21,167,139,220
2022-03-16,Wednesday,Viman Nagar,18.5679,73.9143,14,164,129,237
2022-03-17,Thursday,Hinjawadi,18.5972,73.7186,49,167,139,220
2022-03-18,Friday,Hinjawadi,18.5972,73.7186,55,167,139,220
2022-03-19,Saturday,Viman Nagar,18.5679,73.9143,36,164,129,237
2022-03-20,Sunday,Viman Nagar,18.5679,73.9143,84,164,129,237
2022-03-21,Monday,Hinjawadi,18.5972,73.7186,62,167,139,220
2022-03-22,Tuesday,Shivajinagar,18.5302,73.8526,59,144,123,171
2022-03-23,Wednesday,Viman Nagar,18.5679,73.9143,61,164,129,237
2022-03-24,Thursday,Hinjawadi,18.5972,73.7186,28,167,139,220
2022-03-25,Friday,Kothrud,18.5074,73.8077,44,147,159,186
2022-03-26,Saturday,Shivajinagar,18.5302,73.8526,61,144,123,171
2022-03-27,Sunday,Kothrud,18.5074,73.8077,40,147,159,186
2022-03-28,Monday,Viman Nagar,18.5679,73.9143,63,164,129,237
2022-03-29,Tuesday,Shivajinagar,18.5302,73.8526,68,144,123,171
2022-03-30,Wednesday,Hinjawadi,18.5972,73.7186,53,167,139,220
2022-03-31,Thursday,Shivajinagar,18.5302,73.8526,65,144,123,171
2022-04-01,Friday,Viman Nagar,18.5679,73.9143,28,164,129,237
2022-04-02,Saturday,Shivajinagar,18.5302,73.8526,55,144,123,171
2022-04-03,Sunday,Hinjawadi,18.5972,73.7186,97,167,139,220
2022-04-04,Monday,Hinjawadi,18.5972,73.7186,75,167,139,220
2022-04-05,Tuesday,Shivajinagar,18.5302,73.8526,80,144,123,171
2022-04-06,Wednesday,Hinjawadi,18.5972,73.7186,63,167,139,220
2022-04-07,Thursday,Shivajinagar,18.5302,73.8526,58,144,123,171
2022-04-08,Friday,Shivajinagar,18.5302,73.8526,69,144,123,171
2022-04-09,Saturday,Shivajinagar,18.5302,73.8526,90,144,123,171
2022-04-10,Sunday,Shivajinagar,18.5302,73.8526,36,144,123,171
2022-04-11,Monday,Viman Nagar,18.5679,73.9143,45,164,129,237
2022-04-12,Tuesday,Hinjawadi,18.5972,73.7186,68,167,139,220
2022-04-13,Wednesday,Shivajinagar,18.5302,73.8526,59,144,123,171
2022-04-14,Thursday,Hinjawadi,18.5972,73.7186,83,167,139,220
2022-04-15,Friday,Viman Nagar,18.5679,73.9143,54,164,129,237
2022-04-16,Saturday,Hinjawadi,18.5972,73.7186,23,167,139,220
2022-04-17,Sunday,Hinjawadi,18.5972,73.7186,80,167,139,220
2022-04-18,Monday,Kothrud,18.5074,73.8077,48,147,159,186
2022-04-19,Tuesday,Kothrud,18.5074,73.8077,49,147,159,186
2022-04-20,Wednesday,Kothrud,18.5074,73.8077,18,147,159,186
2022-04-21,Thursday,Shivajinagar,18.5302,73.8526,23,144,123,171
2022-04-22,Friday,Kothrud,18.5074,73.8077,17,147,159,186
2022-04-23,Saturday,Kothrud,18.5074,73.8077,90,147,159,186
2022-04-24,Sunday,Kothrud,18.5074,73.8077,32,147,159,186
2022-04-25,Monday,Hinjawadi,18.5972,73.7186,89,167,139,220
2022-04-26,Tuesday,Shivajinagar,18.5302,73.8526,99,144,123,171
2022-04-27,Wednesday,Hinjawadi,18.5972,73.7186,18,167,139,220
2022-04-28,Thursday,Kothrud,18.5074,73.8077,16,147,159,186
2022-04-29,Friday,Viman Nagar,18.5679,73.9143,91,164,129,237
2022-04-30,Saturday,Shivajinagar,18.5302,73.8526,81,144,123,171
2022-05-01,Sunday,Kothrud,18.5074,73.8077,94,147,159,186
2022-05-02,Monday,Viman Nagar,18.5679,73.9143,99,164,129,237
2022-05-03,Tuesday,Shivajinagar,18.5302,73.8526,76,144,123,171
2022-05-04,Wednesday,Viman Nagar,18.5679,73.9143,70,164,129,237
2022-05-05,Thursday,Shivajinagar,18.5302,73.8526,26,144,123,171
2022-05-06,Friday,Kothrud,18.5074,73.8077,66,147,159,186
2022-05-07,Saturday,Hinjawadi,18.5972,73.7186,33,167,139,220
2022-05-08,Sunday,Viman Nagar,18.5679,73.9143,34,164,129,237
2022-05-09,Monday,Viman Nagar,18.5679,73.9143,14,164,129,237
2022-05-10,Tuesday,Kothrud,18.5074,73.8077,59,147,159,186
2022-05-11,Wednesday,Shivajinagar,18.5302,73.8526,97,144,123,171
2022-05-12,Thursday,Hinjawadi,18.5972,73.7186,40,167,139,220
2022-05-13,Friday,Kothrud,18.5074,73.8077,64,147,159,186
2022-05-14,Saturday,Kothrud,18.5074,73.8077,35,147,159,186
2022-05-15,Sunday,Hinjawadi,18.5972,73.7186,30,167,139,220
2022-05-16,Monday,Shivajinagar,18.5302,73.8526,67,144,123,171
2022-05-17,Tuesday,Viman Nagar,18.5679,73.9143,33,164,129,237
2022-05-18,Wednesday,Viman Nagar,18.5679,73.9143,37,164,129,237
2022-05-19,Thursday,Hinjawadi,18.5972,73.7186,39,167,139,220
2022-05-20,Friday,Viman Nagar,18.5679,73.9143,43,164,129,237
2022-05-21,Saturday,Hinjawadi,18.5972,73.7186,63,167,139,220
2022-05-22,Sunday,Hinjawadi,18.5972,73.7186,61,167,139,220
2022-05-23,Monday,Hinjawadi,18.5972,73.7186,96,167,139,220
2022-05-24,Tuesday,Viman Nagar,18.5679,73.9143,17,164,129,237
2022-05-25,Wednesday,Kothrud,18.5074,73.8077,19,147,159,186
2022-05-26,Thursday,Viman Nagar,18.5679,73.9143,64,164,129,237
2022-05-27,Friday,Viman Nagar,18.5679,73.9143,10,164,129,237
